# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 18744
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 18744
DATA ascii
5.815639 -2.387539 -1.802668
6.51536 -2.349805 -1.813179
7.375928 -2.351131 -1.83433
8.366534 -2.350686 -1.847226
9.604765 -2.341405 -1.86263
11.22064 -2.360494 -1.883841
13.28083 -2.355333 -1.89563
5.322265 -2.266842 -1.805121
6.526681 -2.247851 -1.807101
7.38954 -2.262028 -1.831102
7.410312 -2.220381 -1.832946
8.377781 -2.261285 -1.844489
9.606205 -2.253716 -1.859051
11.20897 -2.254033 -1.878437
13.2757 -2.253768 -1.892476
6.543707 -2.14869 -1.803049
7.41162 -2.151051 -1.828612
8.390821 -2.173149 -1.842375
8.400064 -2.123983 -1.841682
9.608421 -2.150835 -1.855132
11.202 -2.153124 -1.874113
13.26364 -2.153009 -1.888486
6.56584 -2.062041 -1.801631
7.43135 -2.052165 -1.826721
8.396107 -2.099612 -1.839603
8.407513 -2.036719 -1.838771
9.610658 -2.050999 -1.851521
11.20277 -2.052736 -1.871195
13.24708 -2.053129 -1.883986
6.598544 -1.934551 -1.800111
7.435057 -1.949195 -1.821234
8.421395 -1.949916 -1.837385
9.617813 -1.948915 -1.848929
11.19345 -1.951575 -1.866764
13.24249 -1.953125 -1.881249
6.614519 -1.879204 -1.800111
7.444345 -1.849198 -1.817499
8.433723 -1.849956 -1.835278
9.638205 -1.85254 -1.849176
11.19275 -1.849616 -1.863846
13.24536 -1.854445 -1.879672
7.459681 -1.749935 -1.815516
8.444489 -1.750311 -1.833088
9.644918 -1.75324 -1.846985
11.19655 -1.78538 -1.862765
11.20227 -1.736207 -1.862441
13.25228 -1.759606 -1.878837
7.474454 -1.650539 -1.813695
8.451733 -1.64929 -1.830371
9.662751 -1.655162 -1.847077
11.1932 -1.650886 -1.858874
13.26815 -1.6464 -1.879023
7.490042 -1.564061 -1.813003
7.50577 -1.509339 -1.814041
8.465029 -1.538738 -1.828791
9.661039 -1.554399 -1.843652
11.17329 -1.548468 -1.853254
13.23342 -1.542868 -1.872435
7.497 -1.473571 -1.810351
7.526382 -1.423915 -1.814963
8.491294 -1.445849 -1.830871
8.513486 -1.432308 -1.835029
9.684081 -1.45654 -1.845102
11.14634 -1.447658 -1.846661
13.2199 -1.444719 -1.869002
7.530653 -1.346838 -1.812657
8.487771 -1.340553 -1.826504
9.673124 -1.355195 -1.840319
11.15781 -1.350904 -1.846553
13.22274 -1.348948 -1.867982
7.531954 -1.245034 -1.808876
8.482652 -1.251115 -1.822554
9.669864 -1.255901 -1.837203
11.1646 -1.252972 -1.845796
13.22367 -1.251566 -1.866775
7.53687 -1.145234 -1.806317
8.478314 -1.150241 -1.818645
9.671644 -1.156707 -1.835228
11.15803 -1.154388 -1.842986
13.23102 -1.156401 -1.86659
7.545699 -1.045714 -1.805003
8.480613 -1.039415 -1.816109
9.672527 -1.057034 -1.833253
11.16637 -1.05684 -1.84277
13.23975 -1.059826 -1.866683
7.550945 -0.9482163 -1.803204
8.488748 -0.9401679 -1.815381
9.677028 -0.9582238 -1.832173
11.17642 -0.9601199 -1.842986
13.24443 -0.9455075 -1.866126
7.557547 -0.8479873 -1.801959
8.496103 -0.8667469 -1.815277
8.505962 -0.8167835 -1.816317
9.692318 -0.8471119 -1.833098
11.18845 -0.8476453 -1.843472
13.25422 -0.8501496 -1.86659
7.560339 -0.7712817 -1.800668
8.509189 -0.7437086 -1.815589
9.694276 -0.7459339 -1.831895
9.70377 -0.7500834 -1.833747
11.19356 -0.733678 -1.842986
13.26135 -0.7538197 -1.866775
8.509907 -0.6447194 -1.81403
9.694243 -0.6353956 -1.830414
9.702091 -0.6937525 -1.832636
11.19855 -0.6535486 -1.842986
11.20929 -0.6031493 -1.844283
13.26083 -0.637731 -1.865848
8.512424 -0.5456416 -1.813094
9.697387 -0.5523555 -1.830043
9.704308 -0.5510535 -1.831339
11.22632 -0.5398876 -1.846553
13.27547 -0.5633703 -1.867425
13.32656 -0.5259314 -1.874383
7.586051 -0.4533519 -1.800668
8.518669 -0.4468113 -1.813198
9.698531 -0.4947006 -1.829673
9.705121 -0.4390078 -1.830414
11.25945 -0.4450124 -1.851308
13.31879 -0.4480631 -1.872899
16.23698 -0.4516474 -1.899529
8.516397 -0.3487762 -1.811743
9.685511 -0.339918 -1.82597
9.711441 -0.3832611 -1.831154
11.25373 -0.3451414 -1.849795
13.31249 -0.3509248 -1.8716
16.2359 -0.3330094 -1.899064
8.513538 -0.248957 -1.810391
9.694915 -0.2696728 -1.827328
9.706826 -0.2134987 -1.829303
11.27538 -0.2479906 -1.852929
13.33711 -0.2545104 -1.874755
8.521236 -0.1498631 -1.811535
9.713965 -0.1432656 -1.830414
11.29552 -0.1504877 -1.855956
13.35399 -0.1398478 -1.876889
7.60343 -0.02455049 -1.80159
8.527281 -0.05282631 -1.812574
9.728692 -0.04583989 -1.833006
11.31087 -0.05328599 -1.858334
13.35863 -0.04312154 -1.877445
7.599391 0.05438004 -1.800668
7.608564 0.05312662 -1.802858
8.533182 0.04766222 -1.813822
9.736485 0.05438876 -1.834487
11.32274 0.0467688 -1.860279
13.3645 0.05522212 -1.87828
7.620396 0.1526641 -1.805971
8.539402 0.1460931 -1.815381
